frame,dff,cue,go,nogo,reward,punish,lick
166,0.6678,1,1,0,0,0,0
167,-0.5,0,1,0,0,0,0
168,1.1055,0,1,0,0,0,0
169,-0.1695,0,1,0,0,0,0
170,2.0503,0,1,0,0,0,1
171,1.165,0,1,0,1,0,1
172,2.7135,0,1,0,0,0,1
173,1.0827,0,1,0,0,0,1
174,1.4816,0,1,0,0,0,1
175,2.2266,0,0,0,0,0,1
176,2.5108,0,0,0,0,0,1
177,-0.0721,0,0,0,0,0,1
178,0.6109,0,0,0,0,0,1
179,-1.0,0,0,0,0,0,1
180,0.1299,0,0,0,0,0,1
181,1.2266,0,0,0,0,0,1
182,-1.0,0,0,0,0,0,1
183,-0.342,0,0,0,0,0,1
184,-1.0,0,0,0,0,0,0
185,-0.8721,0,0,0,0,0,1
186,0.1873,0,0,0,0,0,0
187,0.0,0,0,0,0,0,1
188,0.3414,0,0,0,0,0,1
189,-0.3253,0,0,0,0,0,0
190,0.2806,0,0,0,0,0,0
191,-0.3032,0,0,0,0,0,0
192,-1.0,0,0,0,0,0,0
193,-0.1773,0,0,0,0,0,0
194,-1.0,0,0,0,0,0,0
195,0.815,0,0,0,0,0,0
196,0.2082,0,0,0,0,0,0
197,-1.0,0,0,0,0,0,0
198,-1.0,0,0,0,0,0,0
199,-0.8174,0,0,0,0,0,0
200,-1.0,0,0,0,0,0,0
201,-0.5259,0,0,0,0,0,0
202,-1.0,0,0,0,0,0,0
203,-0.1905,0,0,0,0,0,0
204,0.6026,0,0,0,0,0,0
205,5.4045,0,0,0,0,0,1
206,3.3544,0,0,0,0,0,1
207,5.8121,1,0,1,0,0,1
208,0.3187,0,0,1,0,0,1
209,-0.0033,0,0,1,0,0,0
210,3.135,0,0,1,0,0,0
211,0.8345,0,0,1,0,0,1
212,0.4688,0,0,1,0,1,1
213,1.7827,0,0,1,0,0,0
214,-0.315,0,0,1,0,0,0
215,-1.0,0,0,1,0,0,0
216,-0.5218,0,0,0,0,0,0
217,2.0668,0,0,0,0,1,1
218,-0.8347,0,0,0,0,1,1
219,0.6207,0,0,0,0,1,1
220,1.0988,0,0,0,0,1,1
221,0.8958,0,0,0,0,1,1
222,2.4289,0,0,0,0,1,1
223,3.7522,0,0,0,0,0,0
224,2.3128,0,0,0,0,1,1
225,1.5322,0,0,0,0,1,1
226,-0.0058,0,0,0,0,1,1
227,2.6943,0,0,0,0,1,1
228,-0.4936,0,0,0,0,1,1
229,5.6084,0,0,0,0,1,1
230,0.1962,0,0,0,0,0,0
231,-1.0,0,0,0,0,0,0
232,-1.0,0,0,0,0,0,0
233,-0.3871,0,0,0,0,0,0
234,-1.0,0,0,0,0,0,0
235,0.0,0,0,0,0,0,0
236,-0.0963,0,0,0,0,0,0
237,-1.0,0,0,0,0,0,0
238,-0.1124,0,0,0,0,0,0
239,1.3442,0,0,0,0,0,0
240,-1.0,0,0,0,0,0,0
241,0.2622,0,0,0,0,0,0
242,-1.0,0,0,0,0,0,0
243,-0.9776,0,0,0,0,0,0
244,1.4873,0,0,0,0,0,0
245,0.8795,0,0,0,0,0,0
246,1.2987,0,0,0,0,0,0
247,1.7364,0,0,0,0,0,0
248,-0.2115,1,1,0,0,0,0
249,3.582,0,1,0,0,0,0
250,-0.0484,0,1,0,0,0,0
251,1.9147,0,1,0,0,0,0
252,1.172,0,1,0,0,0,1
253,2.8322,0,1,0,1,0,1
254,1.8103,0,1,0,0,0,1
255,1.2446,0,1,0,0,0,1
256,1.7358,0,1,0,0,0,1
257,-1.0,0,0,0,0,0,1
258,1.9298,0,0,0,0,0,1
259,0.0487,0,0,0,0,0,1
260,0.6847,0,0,0,0,0,1
261,1.509,0,0,0,0,0,1
262,5.2608,0,0,0,0,0,1
263,5.2953,0,0,0,0,0,1
264,1.4536,0,0,0,0,0,1
265,0.7446,0,0,0,0,0,1
266,0.2789,0,0,0,0,0,1
267,0.1939,0,0,0,0,0,1
268,-1.0,0,0,0,0,0,0
269,-0.5496,0,0,0,0,0,0
270,1.5959,0,0,0,0,0,0
271,-0.4005,0,0,0,0,0,0
272,1.1488,0,0,0,0,0,0
273,0.7677,0,0,0,0,0,0
274,0.125,0,0,0,0,0,0
275,-0.0879,0,0,0,0,0,0
276,-0.0502,0,0,0,0,0,0
277,-0.0902,0,0,0,0,0,0
278,0.2403,0,0,0,0,0,0
279,0.4866,0,0,0,0,0,0
280,-0.0621,0,0,0,0,0,0
281,-1.0,0,0,0,0,0,0
282,-1.0,0,0,0,0,0,0
283,-0.4758,0,0,0,0,0,0
284,-0.9335,0,0,0,0,0,0
285,-0.8686,0,0,0,0,0,0
286,-1.0,0,0,0,0,0,0
287,-0.6897,0,0,0,0,0,0
288,-1.0,0,0,0,0,0,0
289,-0.8304,1,0,1,0,0,0
290,-1.0,0,0,1,0,0,0
291,1.0595,0,0,1,0,0,0
292,2.7731,0,0,1,0,0,1
293,0.0667,0,0,1,0,0,1
294,0.4037,0,0,1,0,1,1
295,0.9774,0,0,1,0,1,1
296,0.9255,0,0,1,0,1,1
297,-0.3651,0,0,1,0,1,1
298,1.0253,0,0,0,0,1,1
299,2.5219,0,0,0,0,1,1
300,-1.0,0,0,0,0,1,1
301,1.2035,0,0,0,0,1,1
302,1.9644,0,0,0,0,1,1
303,-0.0088,0,0,0,0,1,1
304,-0.5897,0,0,0,0,1,1
305,0.3667,0,0,0,0,1,1
306,0.7818,0,0,0,0,0,0
307,-1.0,0,0,0,0,0,0
308,0.4781,0,0,0,0,0,0
309,-0.5321,0,0,0,0,0,0
310,-0.9793,0,0,0,0,0,0
311,-1.0,0,0,0,0,0,0
312,1.3759,0,0,0,0,0,0
313,-1.0,0,0,0,0,0,0
314,-0.1024,0,0,0,0,0,0
315,-0.4472,0,0,0,0,0,0
316,-0.3471,0,0,0,0,0,0
317,-1.0,0,0,0,0,0,0
318,-1.0,0,0,0,0,0,0
319,1.3931,0,0,0,0,0,0
320,-1.0,0,0,0,0,0,0
321,-0.4895,0,0,0,0,0,0
322,-1.0,0,0,0,0,0,0
323,1.0595,0,0,0,0,0,0
324,-1.0,0,0,0,0,0,0
325,0.9244,0,0,0,0,0,0
326,-1.0,0,0,0,0,0,0
327,0.9814,0,0,0,0,0,0
328,-1.0,0,0,0,0,0,0
329,-1.0,0,0,0,0,0,0
330,-1.0,1,0,1,0,0,0
331,-0.3425,0,0,1,0,0,0
332,-1.0,0,0,1,0,0,0
333,-0.1565,0,0,1,0,0,0
334,0.5873,0,0,1,0,0,1
335,4.4914,0,0,1,0,1,1
336,1.7712,0,0,1,0,1,1
337,2.7927,0,0,1,0,1,1
338,-0.8427,0,0,1,0,1,1
339,-1.0,0,0,0,0,1,1
340,0.9488,0,0,0,0,1,1
341,1.3559,0,0,0,0,1,1
342,3.0819,0,0,0,0,1,1
343,-1.0,0,0,0,0,1,1
344,-1.0,0,0,0,0,1,1
345,5.12,0,0,0,0,1,1
346,1.2569,0,0,0,0,1,1
347,0.484,0,0,0,0,1,1
348,0.1596,0,0,0,0,1,1
349,-0.7916,0,0,0,0,1,1
350,2.1252,0,0,0,0,0,0
351,0.5472,0,0,0,0,0,0
352,-1.0,0,0,0,0,0,0
353,1.011,0,0,0,0,0,0
354,2.4383,0,0,0,0,0,0
355,-1.0,0,0,0,0,0,0
356,0.0,0,0,0,0,0,0
357,-0.3926,0,0,0,0,0,0
358,-1.0,0,0,0,0,0,0
359,-1.0,0,0,0,0,0,0
360,1.0854,0,0,0,0,0,0
361,-1.0,0,0,0,0,0,0
362,0.1436,0,0,0,0,0,0
363,-1.0,0,0,0,0,0,0
364,0.5419,0,0,0,0,0,0
365,-0.9393,0,0,0,0,0,0
366,-1.0,0,0,0,0,0,0
367,0.1187,0,0,0,0,0,0
368,1.5469,0,0,0,0,0,0
369,-0.396,0,0,0,0,0,0
370,5.3987,0,0,0,0,0,0
371,1.2144,1,0,1,0,0,0
372,-1.0,0,0,1,0,0,0
373,1.4679,0,0,1,0,0,0
374,-1.0,0,0,1,0,0,1
375,4.7551,0,0,1,0,0,1
376,8.3188,0,0,1,0,1,1
377,4.5364,0,0,1,0,1,1
378,2.8735,0,0,1,0,1,1
379,4.4684,0,0,1,0,1,1
380,-1.0,0,0,0,0,0,0
381,2.3875,0,0,0,0,1,1
382,3.0981,0,0,0,0,1,1
383,0.4144,0,0,0,0,1,1
384,4.0272,0,0,0,0,1,1
385,2.3446,0,0,0,0,0,0
386,5.7187,0,0,0,0,0,0
387,4.2476,0,0,0,0,0,0
388,6.0207,0,0,0,0,0,0
389,8.3579,0,0,0,0,0,0
390,5.7876,0,0,0,0,0,0
391,5.3539,0,0,0,0,0,0
392,1.5857,0,0,0,0,0,0
393,2.1173,0,0,0,0,0,0
394,0.0,0,0,0,0,0,0
395,-1.0,0,0,0,0,0,0
396,3.5814,0,0,0,0,0,0
397,0.4862,0,0,0,0,0,0
398,0.0575,0,0,0,0,0,0
399,2.9055,0,0,0,0,0,0
400,0.0396,0,0,0,0,0,0
401,0.374,0,0,0,0,0,0
402,-0.601,0,0,0,0,0,0
403,-0.9374,0,0,0,0,0,0
404,2.2852,0,0,0,0,0,0
405,2.5249,0,0,0,0,0,0
406,3.841,0,0,0,0,0,0
407,0.1179,0,0,0,0,0,0
408,2.8407,0,0,0,0,0,0
409,0.918,0,0,0,0,0,0
410,3.0866,0,0,0,0,0,0
411,0.1522,0,0,0,0,0,0
412,1.37,1,1,0,0,0,0
413,-1.0,0,1,0,0,0,0
414,-0.891,0,1,0,0,0,0
415,0.5308,0,1,0,0,0,0
416,-0.6539,0,1,0,0,0,0
417,0.0294,0,1,0,1,0,1
418,-0.706,0,1,0,0,0,1
419,0.891,0,1,0,0,0,1
420,1.0298,0,1,0,0,0,1
421,1.4407,0,0,0,0,0,1
422,0.0237,0,0,0,0,0,1
423,1.377,0,0,0,0,0,1
424,-0.7583,0,0,0,0,0,1
425,1.7814,0,0,0,0,0,1
426,-0.314,0,0,0,0,0,1
427,1.954,0,0,0,0,0,1
428,0.6837,0,0,0,0,0,1
429,-0.391,0,0,0,0,0,1
430,-1.0,0,0,0,0,0,1
431,-1.0,0,0,0,0,0,0
432,-1.0,0,0,0,0,0,0
433,-0.389,0,0,0,0,0,0
434,-1.0,0,0,0,0,0,0
435,-1.0,0,0,0,0,0,0
436,-0.4397,0,0,0,0,0,0
437,0.2972,0,0,0,0,0,0
438,0.0265,0,0,0,0,0,0
439,3.0218,0,0,0,0,0,0
440,-0.8488,0,0,0,0,0,0
441,-0.7531,0,0,0,0,0,0
442,-1.0,0,0,0,0,0,0
443,-0.9389,0,0,0,0,0,0
444,-1.0,0,0,0,0,0,0
445,0.8483,0,0,0,0,0,0
446,0.7266,0,0,0,0,0,0
447,1.7305,0,0,0,0,0,0
448,0.9472,0,0,0,0,0,0
449,-1.0,0,0,0,0,0,0
450,0.5611,0,0,0,0,0,0
451,-1.0,0,0,0,0,0,0
452,-1.0,0,0,0,0,0,0
453,0.0,1,1,0,0,0,0
454,1.9215,0,1,0,0,0,0
455,0.3759,0,1,0,0,0,0
456,2.1044,0,1,0,0,0,1
457,3.0912,0,1,0,0,0,1
458,1.3894,0,1,0,1,0,1
459,-0.5709,0,1,0,0,0,1
460,1.5394,0,1,0,0,0,1
461,2.7024,0,1,0,0,0,1
462,-0.5797,0,0,0,0,0,1
463,1.7371,0,0,0,0,0,1
464,0.4044,0,0,0,0,0,1
465,-0.0812,0,0,0,0,0,1
466,1.4859,0,0,0,0,0,1
467,-1.0,0,0,0,0,0,1
468,0.149,0,0,0,0,0,1
469,-1.0,0,0,0,0,0,1
470,1.0648,0,0,0,0,0,1
471,-0.2865,0,0,0,0,0,1
472,-0.5194,0,0,0,0,0,1
473,-0.299,0,0,0,0,0,1
474,0.6207,0,0,0,0,0,0
475,-0.7798,0,0,0,0,0,0
476,-0.9575,0,0,0,0,0,1
477,2.9769,0,0,0,0,0,0
478,2.7918,0,0,0,0,0,0
479,0.7608,0,0,0,0,0,0
480,3.5932,0,0,0,0,0,0
481,1.9541,0,0,0,0,0,0
482,-0.4427,0,0,0,0,0,0
483,0.1976,0,0,0,0,0,0
484,-1.0,0,0,0,0,0,0
485,1.1821,0,0,0,0,0,0
486,0.2502,0,0,0,0,0,0
487,1.6336,0,0,0,0,0,0
488,-0.1133,0,0,0,0,0,0
489,-0.8626,0,0,0,0,0,0
490,1.7981,0,0,0,0,0,0
491,-1.0,0,0,0,0,0,0
492,-0.6217,0,0,0,0,0,0
493,0.959,0,0,0,0,0,0
494,-1.0,1,0,1,0,0,0
495,1.2519,0,0,1,0,0,0
496,-0.495,0,0,1,0,0,0
497,1.4627,0,0,1,0,0,0
498,-1.0,0,0,1,0,0,0
499,-1.0,0,0,1,0,0,0
500,1.5139,0,0,1,0,1,1
501,2.603,0,0,1,0,1,1
502,-1.0,0,0,1,0,1,1
503,3.8028,0,0,0,0,1,1
504,0.7435,0,0,0,0,1,1
505,-1.0,0,0,0,0,1,1
506,1.7146,0,0,0,0,1,1
507,-0.7328,0,0,0,0,1,1
508,2.3203,0,0,0,0,1,1
509,1.9042,0,0,0,0,1,1
510,-0.0555,0,0,0,0,0,0
511,0.9955,0,0,0,0,0,0
512,4.4735,0,0,0,0,0,0
513,4.8771,0,0,0,0,0,0
514,3.7531,0,0,0,0,1,1
515,0.7622,0,0,0,0,1,1
516,2.8522,0,0,0,0,0,0
517,1.4751,0,0,0,0,0,0
518,0.0,0,0,0,0,0,0
519,0.0582,0,0,0,0,0,0
520,1.0006,0,0,0,0,0,0
521,0.9883,0,0,0,0,0,0
522,3.2245,0,0,0,0,0,0
523,-1.0,0,0,0,0,0,0
524,1.5338,0,0,0,0,0,0
525,2.3027,0,0,0,0,0,0
526,2.8568,0,0,0,0,0,0
527,1.4137,0,0,0,0,0,0
528,1.6297,0,0,0,0,0,0
529,-1.0,0,0,0,0,0,0
530,1.6832,0,0,0,0,0,0
531,-1.0,0,0,0,0,0,0
532,3.5523,0,0,0,0,0,0
533,-1.0,0,0,0,0,0,0
534,1.0141,0,0,0,0,0,0
535,0.8831,1,0,1,0,0,0
536,0.4564,0,0,1,0,0,0
537,-1.0,0,0,1,0,0,0
538,-0.2687,0,0,1,0,0,0
539,2.3979,0,0,1,0,0,1
540,-1.0,0,0,1,0,1,1
541,2.8677,0,0,1,0,1,1
542,1.9785,0,0,1,0,1,1
543,2.8109,0,0,1,0,1,1
544,1.8,0,0,0,0,1,1
545,2.4734,0,0,0,0,1,1
546,2.626,0,0,0,0,1,1
547,0.1595,0,0,0,0,1,1
548,2.3307,0,0,0,0,0,0
549,1.439,0,0,0,0,1,1
550,0.2979,0,0,0,0,1,1
551,0.0396,0,0,0,0,1,1
552,0.6965,0,0,0,0,1,1
553,-0.3216,0,0,0,0,0,0
554,-1.0,0,0,0,0,0,0
555,-0.4262,0,0,0,0,1,1
556,-0.2276,0,0,0,0,1,1
557,-1.0,0,0,0,0,1,1
558,2.7938,0,0,0,0,0,0
559,3.8238,0,0,0,0,0,0
560,-1.0,0,0,0,0,0,0
561,-0.4405,0,0,0,0,0,0
562,0.9877,0,0,0,0,0,0
563,0.7472,0,0,0,0,0,0
564,-1.0,0,0,0,0,0,0
565,0.0085,0,0,0,0,0,0
566,-0.8228,0,0,0,0,0,0
567,0.4915,0,0,0,0,0,0
568,0.3657,0,0,0,0,0,0
569,-0.1362,0,0,0,0,0,0
570,0.79,0,0,0,0,0,0
571,-1.0,0,0,0,0,0,0
572,-0.0789,0,0,0,0,0,0
573,-0.1277,0,0,0,0,0,0
574,-0.1688,0,0,0,0,0,0
575,-1.0,0,0,0,0,0,0
576,0.8119,1,0,1,0,0,0
577,-0.9412,0,0,1,0,0,0
578,-0.3322,0,0,1,0,0,0
579,-1.0,0,0,1,0,0,0
580,-1.0,0,0,1,0,0,0
581,-0.8663,0,0,1,0,0,0
582,-1.0,0,0,1,0,0,0
583,0.071,0,0,1,0,0,0
584,0.7184,0,0,1,0,0,0
585,2.3681,0,0,0,0,0,0
586,-1.0,0,0,0,0,0,0
587,-1.0,0,0,0,0,0,0
588,-0.9303,0,0,0,0,0,0
589,-1.0,0,0,0,0,0,0
590,-1.0,0,0,0,0,0,0
591,-1.0,0,0,0,0,0,0
592,-1.0,0,0,0,0,0,0
593,-1.0,0,0,0,0,0,0
594,1.2794,0,0,0,0,0,0
595,1.2927,0,0,0,0,0,0
596,-0.8154,0,0,0,0,0,0
597,-0.8682,0,0,0,0,0,0
598,-0.9649,0,0,0,0,0,0
599,-0.8648,0,0,0,0,0,0
600,-1.0,0,0,0,0,0,0
601,-1.0,0,0,0,0,0,0
602,-1.0,0,0,0,0,0,0
603,-0.0757,0,0,0,0,0,0
604,1.1083,0,0,0,0,0,0
605,-0.3764,0,0,0,0,0,0
606,-0.265,0,0,0,0,0,0
607,-0.9466,0,0,0,0,0,0
608,-0.4888,0,0,0,0,0,0
609,1.1652,0,0,0,0,0,0
610,-0.7083,0,0,0,0,0,0
611,0.0351,0,0,0,0,0,0
612,-1.0,0,0,0,0,0,0
613,-1.0,0,0,0,0,0,0
614,-0.1142,0,0,0,0,0,0
615,-0.7055,0,0,0,0,0,0
616,-1.0,0,0,0,0,0,0
617,-0.6422,1,1,0,0,0,0
618,-0.9454,0,1,0,0,0,0
619,-1.0,0,1,0,0,0,0
620,1.1324,0,1,0,0,0,0
621,0.4612,0,1,0,0,0,1
622,1.3051,0,1,0,1,0,1
623,2.4443,0,1,0,0,0,1
624,4.0338,0,1,0,0,0,1
625,0.6615,0,1,0,0,0,0
626,-1.0,0,0,0,0,0,0
627,0.8765,0,0,0,0,0,0
628,3.2042,0,0,0,0,0,1
629,-0.584,0,0,0,0,0,1
630,0.6757,0,0,0,0,0,1
631,1.3416,0,0,0,0,0,1
632,1.0096,0,0,0,0,0,1
633,-0.6996,0,0,0,0,0,1
634,0.631,0,0,0,0,0,0
635,-0.2453,0,0,0,0,0,1
636,1.4124,0,0,0,0,0,1
637,-1.0,0,0,0,0,0,1
638,-0.2959,0,0,0,0,0,1
639,-0.9644,0,0,0,0,0,1
640,-0.0212,0,0,0,0,0,0
641,0.4335,0,0,0,0,0,0
642,0.479,0,0,0,0,0,0
643,1.1237,0,0,0,0,0,0
644,3.2126,0,0,0,0,0,0
645,-0.7428,0,0,0,0,0,0
646,1.9975,0,0,0,0,0,0
647,0.7458,0,0,0,0,0,0
648,-0.7257,0,0,0,0,0,0
649,0.6728,0,0,0,0,0,0
650,-0.9643,0,0,0,0,0,0
651,-0.7667,0,0,0,0,0,0
652,-1.0,0,0,0,0,0,0
653,0.2602,0,0,0,0,0,0
654,-0.1061,0,0,0,0,0,0
655,-0.266,0,0,0,0,0,0
656,-0.4219,0,0,0,0,0,0
657,-1.0,0,0,0,0,0,0
658,1.7596,1,1,0,0,0,0
659,-0.3186,0,1,0,0,0,0
660,6.1845,0,1,0,0,0,0
661,-0.6088,0,1,0,0,0,0
662,-1.0,0,1,0,0,0,0
663,-0.2779,0,1,0,1,0,1
664,0.1347,0,1,0,0,0,1
665,4.6872,0,1,0,0,0,1
666,4.5886,0,1,0,0,0,1
667,8.3615,0,0,0,0,0,1
668,0.7352,0,0,0,0,0,1
669,2.3999,0,0,0,0,0,1
670,-1.0,0,0,0,0,0,1
671,0.6606,0,0,0,0,0,1
672,3.2283,0,0,0,0,0,1
673,-0.1282,0,0,0,0,0,1
674,0.9082,0,0,0,0,0,1
675,-0.2152,0,0,0,0,0,0
676,-0.1098,0,0,0,0,0,0
677,0.9186,0,0,0,0,0,0
678,-0.0026,0,0,0,0,0,0
679,0.1953,0,0,0,0,0,0
680,2.4052,0,0,0,0,0,0
681,-0.9816,0,0,0,0,0,0
682,1.8758,0,0,0,0,0,0
683,4.0527,0,0,0,0,0,0
684,-0.9653,0,0,0,0,0,0
685,0.318,0,0,0,0,0,0
686,2.1896,0,0,0,0,0,0
687,1.8402,0,0,0,0,0,0
688,3.0561,0,0,0,0,0,0
689,-0.6271,0,0,0,0,0,0
690,2.0556,0,0,0,0,0,0
691,3.6163,0,0,0,0,0,0
692,-0.3241,0,0,0,0,0,0
693,0.6516,0,0,0,0,0,0
694,3.9644,0,0,0,0,0,0
695,1.2126,0,0,0,0,0,0
696,2.8036,0,0,0,0,0,0
697,-1.0,0,0,0,0,0,0
698,1.6877,0,0,0,0,0,0
699,-0.9478,1,1,0,0,0,0
700,-0.9008,0,1,0,0,0,0
701,1.1647,0,1,0,0,0,0
702,1.6111,0,1,0,0,0,0
703,-0.9363,0,1,0,0,0,0
704,-0.4095,0,1,0,0,0,0
705,-1.0,0,1,0,0,0,0
706,-0.4274,0,1,0,0,0,0
707,-1.0,0,1,0,0,0,0
708,-1.0,0,0,0,0,0,0
709,-0.2945,0,0,0,0,0,0
710,-0.6714,0,0,0,0,0,0
711,-1.0,0,0,0,0,0,0
712,-0.4401,0,0,0,0,0,0
713,0.0575,0,0,0,0,0,0
714,-1.0,0,0,0,0,0,0
715,0.2154,0,0,0,0,0,0
716,-0.5896,0,0,0,0,0,0
717,-1.0,0,0,0,0,0,0
718,-1.0,0,0,0,0,0,0
719,-0.757,0,0,0,0,0,0
720,0.2414,0,0,0,0,0,0
721,2.417,0,0,0,0,0,0
722,-1.0,0,0,0,0,0,0
723,1.0435,0,0,0,0,0,0
724,-1.0,0,0,0,0,0,0
725,-1.0,0,0,0,0,0,0
726,-0.9559,0,0,0,0,0,0
